,ds,y
280,2010-10-08,935
281,2010-10-09,1260
282,2010-10-10,1118
283,2010-10-11,1291
284,2010-10-12,1554
285,2010-10-13,1005
286,2010-10-14,982
287,2010-10-15,1182
288,2010-10-16,1388
289,2010-10-17,1110
290,2010-10-18,508
291,2010-10-19,537
292,2010-10-20,495
293,2010-10-21,675
294,2010-10-22,900
295,2010-10-23,1123
296,2010-10-24,761
297,2010-10-25,451
298,2010-10-26,337
299,2010-10-27,397
300,2010-10-28,490
301,2010-10-29,581
302,2010-10-30,592
303,2010-10-31,581
304,2010-11-01,511
305,2010-11-02,252
306,2010-11-03,324
307,2010-11-04,345
308,2010-11-05,423
309,2010-11-06,42
310,2010-11-07,432
311,2010-11-08,267
312,2010-11-09,218
313,2010-11-10,206
314,2010-11-11,207
315,2010-11-12,301
316,2010-11-13,891
317,2010-11-14,352
318,2010-11-15,115
319,2010-11-16,209
320,2010-11-17,113
321,2010-11-18,109
322,2010-11-19,175
323,2010-11-20,324
324,2010-11-21,478
325,2010-11-22,114
326,2010-11-23,164
327,2010-11-24,97
328,2010-11-25,124
329,2010-11-26,247
330,2010-11-27,366
331,2010-11-28,509
332,2010-11-29,108
333,2010-11-30,52
334,2010-12-01,73
335,2010-12-02,93
336,2010-12-03,81
337,2010-12-04,160
338,2010-12-05,170
339,2010-12-06,336
340,2010-12-07,512
341,2010-12-08,539
342,2010-12-09,249
343,2010-12-10,209
344,2010-12-11,536
345,2010-12-12,355
346,2010-12-13,66
347,2010-12-14,76
348,2010-12-15,51
349,2010-12-16,78
350,2010-12-17,98
351,2010-12-18,331
352,2010-12-19,296
353,2010-12-20,65
354,2010-12-21,86
355,2010-12-22,69
356,2010-12-23,89
357,2010-12-24,50
358,2010-12-25,19
359,2010-12-26,216
360,2010-12-27,81
361,2010-12-28,140
362,2010-12-29,241
363,2010-12-30,344
364,2010-12-31,257
365,2011-01-01,26
366,2011-01-02,60
367,2011-01-03,26
368,2011-01-04,22
369,2011-01-05,17
370,2011-01-06,23
371,2011-01-07,42
372,2011-01-08,33
373,2011-01-09,6
374,2011-01-10,10
375,2011-01-11,17
376,2011-01-12,5
377,2011-01-13,17
378,2011-01-14,18
379,2011-01-15,27
380,2011-01-16,11
381,2011-01-17,9
382,2011-01-18,12
383,2011-01-19,8
384,2011-01-20,10
385,2011-01-21,29
386,2011-01-22,30
387,2011-01-23,13
388,2011-01-24,7
389,2011-01-25,33
390,2011-01-26,17
391,2011-01-27,27
392,2011-01-28,24
393,2011-01-29,23
394,2011-01-30,28
395,2011-01-31,14
396,2011-02-01,10
397,2011-02-02,8
398,2011-02-03,15
399,2011-02-04,11
400,2011-02-05,40
401,2011-02-06,22
402,2011-02-07,14
403,2011-02-08,36
404,2011-02-09,18
405,2011-02-10,39
406,2011-02-11,81
407,2011-02-12,25
408,2011-02-13,12
409,2011-02-14,24
410,2011-02-15,6
411,2011-02-16,17
412,2011-02-17,15
413,2011-02-18,31
414,2011-02-19,34
415,2011-02-20,35
416,2011-02-21,42
417,2011-02-22,12
418,2011-02-23,37
419,2011-02-24,31
420,2011-02-25,77
421,2011-02-26,51
422,2011-02-27,27
423,2011-02-28,50
424,2011-03-01,87
425,2011-03-02,65
426,2011-03-03,64
427,2011-03-04,55
428,2011-03-05,84
429,2011-03-06,70
430,2011-03-07,70
431,2011-03-08,176
432,2011-03-09,65
433,2011-03-10,77
434,2011-03-11,134
435,2011-03-12,228
436,2011-03-13,62
437,2011-03-14,40
438,2011-03-15,67
439,2011-03-16,65
440,2011-03-17,50
441,2011-03-18,185
442,2011-03-19,57
443,2011-03-20,79
444,2011-03-21,62
445,2011-03-22,68
446,2011-03-23,64
447,2011-03-24,84
448,2011-03-25,186
449,2011-03-26,145
450,2011-03-27,97
451,2011-03-28,116
452,2011-03-29,64
453,2011-03-30,145
454,2011-03-31,212
455,2011-04-01,184
456,2011-04-02,137
457,2011-04-03,137
458,2011-04-04,99
459,2011-04-05,79
460,2011-04-06,224
461,2011-04-07,129
462,2011-04-08,339
463,2011-04-09,216
464,2011-04-10,267
465,2011-04-11,196
466,2011-04-12,261
467,2011-04-13,309
468,2011-04-14,348
469,2011-04-15,470
470,2011-04-16,433
471,2011-04-17,279
472,2011-04-18,239
473,2011-04-19,423
474,2011-04-20,842
475,2011-04-21,1103
476,2011-04-22,1214
477,2011-04-23,1572
478,2011-04-24,1110
479,2011-04-25,579
480,2011-04-26,481
481,2011-04-27,572
482,2011-04-28,481
483,2011-04-29,754
484,2011-04-30,677
485,2011-05-01,509
486,2011-05-02,459
487,2011-05-03,437
488,2011-05-04,420
489,2011-05-05,478
490,2011-05-06,680
491,2011-05-07,595
492,2011-05-08,497
493,2011-05-09,467
494,2011-05-10,478
495,2011-05-11,471
496,2011-05-12,592
497,2011-05-13,743
498,2011-05-14,723
499,2011-05-15,651
500,2011-05-16,639
501,2011-05-17,606
502,2011-05-18,537
503,2011-05-19,664
504,2011-05-20,766
505,2011-05-21,717
506,2011-05-22,747
507,2011-05-23,564
508,2011-05-24,713
509,2011-05-25,734
510,2011-05-26,881
511,2011-05-27,971
512,2011-05-28,846
513,2011-05-29,730
514,2011-05-30,687
515,2011-05-31,803
516,2011-06-01,565
517,2011-06-02,759
518,2011-06-03,811
519,2011-06-04,961
520,2011-06-05,745
521,2011-06-06,677
522,2011-06-07,686
523,2011-06-08,798
524,2011-06-09,845
525,2011-06-10,1060
526,2011-06-11,1215
527,2011-06-12,1321
528,2011-06-13,685
529,2011-06-14,658
530,2011-06-15,645
531,2011-06-16,725
532,2011-06-17,829
533,2011-06-18,793
534,2011-06-19,798
535,2011-06-20,717
536,2011-06-21,687
537,2011-06-22,901
538,2011-06-23,907
539,2011-06-24,1139
540,2011-06-25,1240
541,2011-06-26,912
542,2011-06-27,726
543,2011-06-28,724
544,2011-06-29,986
545,2011-06-30,724
546,2011-07-01,1161
547,2011-07-02,994
548,2011-07-03,583
549,2011-07-04,613
550,2011-07-05,559
551,2011-07-06,1043
552,2011-07-07,1121
553,2011-07-08,1114
554,2011-07-09,1141
555,2011-07-10,1008
556,2011-07-11,858
557,2011-07-12,836
558,2011-07-13,870
559,2011-07-14,756
560,2011-07-15,1128
561,2011-07-16,945
562,2011-07-17,741
563,2011-07-18,597
564,2011-07-19,641
565,2011-07-20,821
566,2011-07-21,856
567,2011-07-22,1467
568,2011-07-23,1485
569,2011-07-24,1522
570,2011-07-25,989
571,2011-07-26,1005
572,2011-07-27,886
573,2011-07-28,1381
574,2011-07-29,1598
575,2011-07-30,1201
576,2011-07-31,921
577,2011-08-01,724
578,2011-08-02,743
579,2011-08-03,869
580,2011-08-04,992
581,2011-08-05,1744
582,2011-08-06,1743
583,2011-08-07,1475
584,2011-08-08,1424
585,2011-08-09,1450
586,2011-08-10,1448
587,2011-08-11,1601
588,2011-08-12,1880
589,2011-08-13,2025
590,2011-08-14,1467
591,2011-08-15,1588
592,2011-08-16,1178
593,2011-08-17,1352
594,2011-08-18,1600
595,2011-08-19,1592
596,2011-08-20,1746
597,2011-08-21,1293
598,2011-08-22,1022
599,2011-08-23,1208
600,2011-08-24,1288
601,2011-08-25,1290
602,2011-08-26,1615
603,2011-08-27,1489
604,2011-08-28,1238
605,2011-08-29,1010
606,2011-08-30,744
607,2011-08-31,650
608,2011-09-01,724
609,2011-09-02,893
610,2011-09-03,802
611,2011-09-04,801
612,2011-09-05,479
613,2011-09-06,765
614,2011-09-07,793
615,2011-09-08,990
616,2011-09-09,1254
617,2011-09-10,1193
618,2011-09-11,839
619,2011-09-12,738
620,2011-09-13,675
621,2011-09-14,739
622,2011-09-15,825
623,2011-09-16,1099
624,2011-09-17,1062
625,2011-09-18,810
626,2011-09-19,679
627,2011-09-20,718
628,2011-09-21,839
629,2011-09-22,1015
630,2011-09-23,1100
631,2011-09-24,1121
632,2011-09-25,978
633,2011-09-26,736
634,2011-09-27,816
635,2011-09-28,716
636,2011-09-29,862
637,2011-09-30,962
638,2011-10-01,810
639,2011-10-02,724
640,2011-10-03,580
641,2011-10-04,559
642,2011-10-05,548
643,2011-10-06,708
644,2011-10-07,805
645,2011-10-08,661
646,2011-10-09,672
647,2011-10-10,618
648,2011-10-11,663
649,2011-10-12,643
650,2011-10-13,567
651,2011-10-14,800
652,2011-10-15,647
653,2011-10-16,617
654,2011-10-17,374
655,2011-10-18,351
656,2011-10-19,355
657,2011-10-20,375
658,2011-10-21,782
659,2011-10-22,544
660,2011-10-23,393
661,2011-10-24,278
662,2011-10-25,294
663,2011-10-26,203
664,2011-10-27,250
665,2011-10-28,396
666,2011-10-29,413
667,2011-10-30,299
668,2011-10-31,313
669,2011-11-01,321
670,2011-11-02,243
671,2011-11-03,190
672,2011-11-04,215
673,2011-11-05,166
674,2011-11-06,120
675,2011-11-07,135
676,2011-11-08,132
677,2011-11-09,122
678,2011-11-10,99
679,2011-11-11,184
680,2011-11-12,162
681,2011-11-13,197
682,2011-11-14,74
683,2011-11-15,78
684,2011-11-16,70
685,2011-11-17,86
686,2011-11-18,98
687,2011-11-19,97
688,2011-11-20,91
689,2011-11-21,82
690,2011-11-22,58
691,2011-11-23,89
692,2011-11-24,63
693,2011-11-25,70
694,2011-11-26,95
695,2011-11-27,118
696,2011-11-28,50
697,2011-11-29,47
698,2011-11-30,39
699,2011-12-01,34
700,2011-12-02,48
701,2011-12-03,60
702,2011-12-04,52
703,2011-12-05,47
704,2011-12-06,70
705,2011-12-07,110
706,2011-12-08,96
707,2011-12-09,177
708,2011-12-10,149
709,2011-12-11,82
710,2011-12-12,34
711,2011-12-13,28
712,2011-12-14,22
713,2011-12-15,22
714,2011-12-16,26
715,2011-12-17,31
716,2011-12-18,43
717,2011-12-19,26
718,2011-12-20,12
719,2011-12-21,12
720,2011-12-22,26
721,2011-12-23,15
722,2011-12-24,25
723,2011-12-25,8
724,2011-12-26,12
725,2011-12-27,21
726,2011-12-28,31
727,2011-12-29,30
728,2011-12-30,71
729,2011-12-31,78
730,2012-01-01,32
731,2012-01-02,60
732,2012-01-03,17
733,2012-01-04,30
734,2012-01-05,37
735,2012-01-06,25
736,2012-01-07,31
737,2012-01-08,24
738,2012-01-09,16
739,2012-01-10,12
740,2012-01-11,20
741,2012-01-12,24
742,2012-01-13,38
743,2012-01-14,36
744,2012-01-15,46
745,2012-01-16,30
746,2012-01-17,34
747,2012-01-18,6
748,2012-01-19,17
749,2012-01-20,26
750,2012-01-21,13
751,2012-01-22,31
752,2012-01-23,23
753,2012-01-24,31
754,2012-01-25,16
755,2012-01-26,16
756,2012-01-27,83
757,2012-01-28,28
758,2012-01-29,32
759,2012-01-30,18
760,2012-01-31,20
761,2012-02-01,22
762,2012-02-02,22
763,2012-02-03,24
764,2012-02-04,28
765,2012-02-05,18
